STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,SCALING,COMMENTS
FBS.PCS.STM.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.STM.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.STM.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.STM.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MEAT.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.MEAT.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MEAT.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.MEAT.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MEAT.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.MEAT.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.OFF.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.OFF.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.OFF.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.OFF.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.OFF.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.OFF.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AF.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.AF.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AF.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.AF.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AF.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.AF.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MEB.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.MEB.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MEB.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.MEB.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MEB.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.MEB.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.EGG.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.EGG.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.EGG.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.EGG.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.EGG.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.EGG.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FISH.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.FISH.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FISH.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.FISH.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FISH.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.FISH.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AP.KCD,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.AP.KCD3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AP.KCDI,,,OA.TPBS.POP.P,,,,weighted.mean,0,,
FBS.PCS.AP.KCDI3,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.AP.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.AP.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.MO.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.MO.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FISHAP.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.FISHAP.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.VOAF.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.VOAF.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.PCS.FV.KCD3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
FBS.SDES.FV.PCT3D,,,OA.TPBS.POP.P3,,,,weighted.mean,0,,
HS.PCS.DEC.KCD,,,,,,,discard,,,
HS.PCS.UDEC.KCD,,,,,,,discard,,,
HS.PCS.RDEC.KCD,,,,,,,discard,,,
HS.PCS.MDEC.KCD,,,,,,,discard,,,
HS.PCS.FDEC.KCD,,,,,,,discard,,,
HS.NCDEC.PRT.PCT,,,,,,,discard,,,
