,,,,,,,,Capture production,,,,,,Aquaculture production,,,,,
Continent_en,Continent_code,Geographical _regions_en,Geographical _regions,Join,Country_en,UN_code,Published,"2000
Asia,142,South-Eastern Asia,035,142-035 Total,,,1,13311,18229,19039,2894,16145,2.8,2731,9585,10293,6860,3434,10.7
Asia,142,South-Eastern Asia,035,142-035,Brunei Darussalam,096,1,2,5,4,0,4,3.7,0,1,1,0,1,16.6
Asia,142,South-Eastern Asia,035,142-035,Cambodia,116,1,284,567,639,528,111,6.4,14,74,90,87,3,15.1
Asia,142,South-Eastern Asia,035,142-035,Indonesia,360,1,4081,5814,6102,413,5689,3.1,789,3068,3820,2463,1357,12.9
Asia,142,South-Eastern Asia,035,142-035,Lao People's Dem. Rep.,418,1,29,34,34,34,,1.2,42,102,108,108,,7.5
Asia,142,South-Eastern Asia,035,142-035,Malaysia,458,1,1289,1477,1489,6,1483,1.1,152,303,261,133,128,4.3
Asia,142,South-Eastern Asia,035,142-035,Myanmar,104,1,1093,3579,3787,1303,2484,10.0,99,885,929,870,59,18.8
Asia,142,South-Eastern Asia,035,142-035,Philippines,608,1,1896,2323,2332,201,2131,1.6,394,791,815,319,496,5.8
Asia,142,South-Eastern Asia,035,142-035,Singapore,702,1,5,2,2,0,2,-8.7,5,4,5,1,5,0.1
Asia,142,South-Eastern Asia,035,142-035,Thailand,764,1,2997,1720,1844,214,1630,-3.7,738,1272,1057,490,567,2.8
Asia,142,South-Eastern Asia,035,142-035,Timor-Leste,626,1,4,3,3,0,3,-0.9,0,0,0,0,0,0.0
Asia,142,South-Eastern Asia,035,142-035,Viet Nam,704,1,1630,2705,2804,195,2608,4.3,499,3086,3207,2389,818,15.4
Asia,142,Southern Asia,034,142-034 Total,,,1,6102,8036,7878,2486,5392,2.0,2672,6419,6951,6378,573,7.6
Asia,142,Southern Asia,034,142-034,Afghanistan,004,1,1,1,1,1,,0.0,0,1,1,1,,10.1
Asia,142,Southern Asia,034,142-034,Bangladesh,050,1,1004,1536,1550,961,589,3.4,657,1726,1860,1698,162,8.3
Asia,142,Southern Asia,034,142-034,Bhutan,064,1,0,0,0,0,,-22.3,0,0,0,0,,6.7
Asia,142,Southern Asia,034,142-034,India,356,1,3666,4872,4645,1226,3419,1.8,1943,4209,4550,4156,394,6.8
Asia,142,Southern Asia,034,142-034,Iran (Islamic Rep. of),364,1,384,542,560,86,474,2.9,41,297,325,313,13,17.4
Asia,142,Southern Asia,034,142-034,Maldives,462,1,119,120,130,0,130,0.6,,,,,,
Asia,142,Southern Asia,034,142-034,Nepal,524,1,17,22,22,22,,2.0,15,35,36,36,,7.0
Asia,142,Southern Asia,034,142-034,Pakistan,586,1,614,469,475,123,352,-2.0,12,143,148,148,0,21.0
Asia,142,Southern Asia,034,142-034,Sri Lanka,144,1,296,474,496,67,429,4.0,4,9,31,26,4,16.1
Asia,142,Western Asia,145,142-145 Total,,,1,1049,1119,1056,98,957,0.0,118,303,321,178,143,8.0
Asia,142,Western Asia,145,142-145,Armenia,051,1,1,1,5,5,,11.7,1,9,12,12,,21.8
Asia,142,Western Asia,145,142-145,Azerbaijan,031,1,19,1,1,1,,-21.6,0,0,0,0,,6.7
Asia,142,Western Asia,145,142-145,Bahrain,048,1,12,27,15,0,15,1.9,0,0,0,,0,-11.4
Asia,142,Western Asia,145,142-145,Cyprus,196,1,68,1,1,0,1,-26.8,2,4,5,0,5,8.4
Asia,142,Western Asia,145,142-145,Georgia,268,1,2,12,12,0,12,15.8,0,1,1,1,,16.8
Asia,142,Western Asia,145,142-145,Iraq,368,1,21,51,57,53,3,8.1,2,25,14,14,,17.4
Asia,142,Western Asia,145,142-145,Israel,376,1,6,3,3,0,2,-5.3,20,20,22,19,3,0.7
Asia,142,Western Asia,145,142-145,Jordan,400,1,1,1,1,0,0,0.9,1,1,1,1,,0.4
Asia,142,Western Asia,145,142-145,Kuwait,414,1,7,4,5,0,5,-3.1,0,0,0,0,0,-1.7
Asia,142,Western Asia,145,142-145,Lebanon,422,1,4,4,4,0,4,0.3,0,1,1,1,0,9.4
Asia,142,Western Asia,145,142-145,Oman,512,1,120,192,206,0,206,4.2,0,0,0,0,0,
Asia,142,Western Asia,145,142-145,"Palestine, Occupied Tr.",275,1,3,2,2,0,2,-2.3,0,0,0,0,0,
Asia,142,Western Asia,145,142-145,Qatar,634,1,7,11,12,0,12,4.1,0,0,0,0,0,
Asia,142,Western Asia,145,142-145,Saudi Arabia,682,1,49,68,72,0,72,3.0,6,21,25,4,22,11.7
Asia,142,Western Asia,145,142-145,Syrian Arab Republic,760,1,7,5,5,3,2,-2.4,7,6,4,4,,-4.0
Asia,142,Western Asia,145,142-145,Turkey,792,1,503,432,374,35,339,-2.3,79,213,234,123,111,8.7
Asia,142,Western Asia,145,142-145,United Arab Emirates,784,1,105,73,72,0,72,-2.9,0,0,1,0,1,
Asia,142,Western Asia,145,142-145,Yemen,887,1,115,231,210,0,210,4.8,0,0,0,,0,
Europe,150,,,150 Total,,,1,16180,13052,13537,394,13143,-1.4,2051,2877,2781,456,2325,2.4
Europe,150,Eastern Europe,151,150-151 Total,,,1,4613,4711,4790,324,4466,0.3,196,279,295,267,28,3.2
Europe,150,Eastern Europe,151,150-151,Belarus,112,1,1,1,1,1,,1.8,7,15,14,14,,5.5
Europe,150,Eastern Europe,151,150-151,Bulgaria,100,1,9,10,10,0,10,0.8,4,6,12,10,2,9.7
Europe,150,Eastern Europe,151,150-151,Czech Republic,203,1,5,4,4,4,,-1.6,19,21,19,19,,0.0
Europe,150,Eastern Europe,151,150-151,Hungary,348,1,7,7,6,6,,-0.7,13,15,15,15,,1.1
Europe,150,Eastern Europe,151,150-151,"Moldova, Republic of",498,1,0,0,0,0,,5.5,2,10,10,10,,14.1
Europe,150,Eastern Europe,151,150-151,Poland,616,1,218,198,214,19,195,-0.1,36,32,35,35,,-0.1
Europe,150,Eastern Europe,151,150-151,Romania,642,1,7,4,4,3,2,-4.1,10,10,11,11,0,1.0
Europe,150,Eastern Europe,151,150-151,Russian Federation,643,1,3974,4331,4346,262,4084,0.7,74,145,155,130,25,5.8
Europe,150,Eastern Europe,151,150-151,Slovakia,703,1,1,2,2,2,,2.9,1,1,1,1,,1.6
Europe,150,Eastern Europe,151,150-151,Ukraine,804,1,392,154,203,28,176,-4.9,31,24,23,22,1,-2.2
Europe,150,Northern Europe,154,150-154 Total,,,1,8532,5832,6106,33,6074,-2.5,800,1710,1625,49,1576,5.6
Europe,150,Northern Europe,154,150-154,Channel Islands,830,1,4,3,3,0,3,-1.8,0,1,1,,1,7.3
Europe,150,Northern Europe,154,150-154,Denmark,208,1,1534,503,668,0,668,-6.2,44,34,32,20,11,-2.4
Europe,150,Northern Europe,154,150-154,Estonia,233,1,113,67,69,3,67,-3.7,0,1,1,1,0,9.5
Europe,150,Northern Europe,154,150-154,Faroe Islands,234,1,454,360,487,0,487,0.5,35,77,76,,76,6.2
Europe,150,Northern Europe,154,150-154,Finland,246,1,156,162,168,24,144,0.5,15,13,14,2,11,-0.9
Europe,150,Northern Europe,154,150-154,Iceland,352,1,1983,1359,1367,0,1366,-2.8,4,7,7,0,7,5.3
Europe,150,Northern Europe,154,150-154,Ireland,372,1,276,276,246,0,246,-0.9,51,36,34,1,33,-3.1
Europe,150,Northern Europe,154,150-154,Isle of Man,833,1,4,6,6,0,6,3.8,,,,,,
Europe,150,Northern Europe,154,150-154,Latvia,428,1,136,94,116,0,116,-1.2,0,1,1,1,,5.4
Europe,150,Northern Europe,154,150-154,Lithuania,440,1,79,67,91,1,89,1.1,2,4,4,4,,5.9
Europe,150,Northern Europe,154,150-154,Norway,578,1,2699,2151,2074,1,2074,-2.0,491,1321,1248,0,1248,7.4
Europe,150,Northern Europe,154,150-154,Svalbard and Jan Mayen,744,1,0,0,0,,0,0.0,,,,,,
Europe,150,Northern Europe,154,150-154,Sweden,752,1,339,152,178,1,177,-4.8,5,14,13,9,5,8.1
Europe,150,Northern Europe,154,150-154,United Kingdom,826,1,754,631,632,2,630,-1.3,152,203,195,11,183,1.9
Europe,150,Southern Europe,039,150-039 Total,,,1,1678,1471,1561,20,1542,-0.6,641,606,569,73,496,-0.9
Europe,150,Southern Europe,039,150-039,Albania,008,1,3,5,5,2,4,3.7,0,2,2,1,1,15.9
Europe,150,Southern Europe,039,150-039,Andorra,020,1,0,0,0,0,,,,,,,,
Europe,150,Southern Europe,039,150-039,Bosnia and Herzegovina,070,1,0,0,0,0,0,1.4,0,4,3,3,0,
Europe,150,Southern Europe,039,150-039,Croatia,191,1,21,64,76,0,75,10.3,7,10,12,3,9,4.4
Europe,150,Southern Europe,039,150-039,Gibraltar,292,1,0,0,0,,0,0.0,,,,,,
Europe,150,Southern Europe,039,150-039,Greece,300,1,99,62,64,1,63,-3.3,95,138,145,2,142,3.2
Europe,150,Southern Europe,039,150-039,Italy,380,1,302,201,177,4,173,-4.0,214,163,163,39,124,-2.1
