STS_ID,STS_ID_CONSTR1,STS_ID_CONSTR2,STS_ID_WEIGHT,CONSTRUCTION_TYPE,GROWTH_RATE_FREQ,GROWTH_TYPE,AGGREGATION,THRESHOLD_PROP,THRESHOLD_COUNTRIES,SCALING,MODULE_FSI,MODULE_POU,MODULE_DES,COMMENTS
FB.EXP.CRLS.TN.IMP,,,,,,,sum,0,0,,FSI,,,
FB.SUPPLY.CRLS.TN.NO,,,,,,,sum,0,0,,FSI,,,
FB.SUPPLY.CRLS.TN.IMP,,,,,,,sum,0,0,,FSI,,,
FB.SUPPLY.CRLS.TN.AV3Y,,,,,,,sum,0,0,,FSI,,,
FB.SUPPLY.CRLS.TN.IMPAV3Y,,,,,,,sum,0,0,,FSI,,,
FB.CIDR.CRLS.TN.NO,,,FB.SUPPLY.CRLS.TN.NO,,,,weighted.mean,0,15,,FSI,,,
FB.CIDR.CRLS.TN.IMP,,,FB.SUPPLY.CRLS.TN.IMP,,,,weighted.mean,0,15,,FSI,,,
FB.CIDR.CRLS.TN.AV3Y,,,FB.SUPPLY.CRLS.TN.AV3Y,,,,weighted.mean,0,15,,FSI,,,
FB.CIDR.CRLS.TN.IMPAV3Y,,,FB.SUPPLY.CRLS.TN.IMPAV3Y,,,,weighted.mean,0,15,,FSI,,,
FB.CIDR.CRLS.TN.AV3Y.DISS,,,,,,,discard,,,,FSI,,,
WGI.PSAVT.IN.NO,,,,,,,discard,,,,FSI,,,
WGI.PSAVT.IN.IMP,,,,,,,discard,,,,FSI,,,
AG.SRF.TOTL.K2,,,,,,,sum,0,0,,FSI,,,
AG.SRF.TOTL.K2.IMP,,,,,,,sum,0,0,,FSI,,,
AG.SRF.TOTL.K2.DISS,,,,,,,sum,0,0,,FSI,,,
AG.SRF.TOTL.K2.DISS2,,,,,,,sum,0,0,,FSI,,,
IS.ROD.DNST.K2,,,AG.SRF.TOTL.K2,,,,weighted.mean,0,15,,FSI,,,to be weighted by land area. Which one? WB (taken from FAOSTAT) or FAOSTAT?
IS.ROD.DNST.K2.IMP,,,AG.SRF.TOTL.K2.IMP,,,,weighted.mean,0,15,,FSI,,,
IS.ROD.DNST.K2.DISS,,,,,,,discard,,,,FSI,,,
IS.ROD.TOTL.KM,,,,,,,sum,0,0,,FSI,,,
IS.ROD.TOTL.KM.IMP,,,,,,,sum,0,0,,FSI,,,
IS.ROD.TOTL.KM.DISS,,,,,,,sum,0,0,,FSI,,,
IS.ROD.PAVE.ZS,,,IS.ROD.TOTL.KM,,,,weighted.mean,0,15,,FSI,,,WB uses median excluding countries with less than 1 million population
IS.ROD.PAVE.ZS.IMP,,,IS.ROD.TOTL.KM.IMP,,,,weighted.mean,0,15,,FSI,,,
IS.ROD.PAVE.ZS.DISS,,,,,,,discard,,,,FSI,,,
IS.RRS.TOTL.KM,,,,,,,sum,0,0,,FSI,,,
IS.RRS.TOTL.KM.IMP,,,,,,,sum,0,0,,FSI,,,
IS.RRS.DNST.K2,IS.RRS.TOTL.KM,AG.SRF.TOTL.K2,AG.SRF.TOTL.K2,share,,,weighted.mean,0,15,,FSI,,,to be weighted by land area. Which one? WB (taken from FAOSTAT) or FAOSTAT?
IS.RRS.DNST.K2.IMP,IS.RRS.TOTL.KM.IMP,AG.SRF.TOTL.K2.IMP,AG.SRF.TOTL.K2.IMP,share,,,weighted.mean,0,15,,FSI,,,
IS.RRS.DNST.K2.DISS,,,,,,,discard,,,,FSI,,,
NY.GDP.MKTP.PP.CD,,,,,,,sum,0,0,,FSI,,,
FPI.IN.NO,,,,,,,discard,,,,FSI,,,
CPI.IN.NO,,,,,,,discard,,,,FSI,,,
CON.FOOD.PPP.NO,,,,,,,discard,,,,FSI,,,
CON.GEN.PPP.NO,,,,,,,discard,,,,FSI,,,
DFPLI.IN.NO,,,NY.GDP.MKTP.PP.CD,,,,weighted.mean,0.65,15,,FSI,,,
DFPLI.IN.IMP,,,,,,,discard,,,,FSI,,,
DFPLI.IN.NO.DISS,,,,,,,discard,,,,FSI,,,
DIFF.DFPLI.IN.NO,,,,,,,discard,,,,FSI,,,no aggregation needed
DFPLIV.IN.NO,,,,,,,discard,,,,FSI,,,aggregates are computed using the alread computed aggregates
DFPLIV.IN.NO.DISS,,,,,,,discard,,,,FSI,,,
SFEP.NO,,,,,,,discard,,,,FSI,,,
QC.PRD.CRLS.TN.NO,,,,,,,sum,0,0,,FSI,,,
MDGTarget,,,,,,,discard,,,,FSI,POU,,
WFSTarget,,,,,,,discard,,,,FSI,POU,,
ExpGrRate,,,,,,,discard,,,,FSI,POU,,
POUForecast,,,,,,,discard,,,,FSI,POU,,
NOUForecast,,,,,,,discard,,,,FSI,POU,,
DESLE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDESLE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DES7LE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDES7LE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DESHW,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDESHW,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DESXCBSLE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDESXCBSLE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DESXCBS7LE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDESXCBS7LE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DESXCBSHW,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDESXCBSHW,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DECLE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDECLE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DEC7LE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDEC7LE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DECHW,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDECHW,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DECXCBSLE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDECXCBSLE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DECXCBS7LE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDECXCBS7LE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
DECXCBSHW,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YDECXCBSHW,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
POULE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YPOULE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
POU7LE,,,POPULATION,,,,weighted.mean,0,15,,,,DES,
AV3YPOU7LE,,,AV3YPOP,,,,weighted.mean,0,15,,,,DES,
